Target Return,Iteration,OOS Mean,OOS Variance
0.025000,40,-0.001532,0.004680
0.025000,41,0.011247,0.001442
0.025000,42,0.017491,0.001430
0.025000,43,0.002052,0.005324
0.025000,44,0.016263,0.002306
0.025000,45,-0.001601,0.001985
0.025000,46,0.001858,0.001642
0.025000,47,-0.006442,0.004455
0.025000,48,-0.001388,0.001493
0.025000,49,0.018178,0.003895
0.025000,50,0.030497,0.009939
0.030000,1,0.031394,0.004043
0.030000,2,0.023848,0.002163
0.030000,3,-0.014869,0.001543
0.030000,4,-0.008756,0.000352
0.030000,5,0.014996,0.001228
0.030000,6,0.016226,0.002607
0.030000,7,0.017422,0.001014
0.030000,8,0.027541,0.001355
0.030000,9,-0.011095,0.003994
0.030000,10,-0.000653,0.002068
0.030000,11,0.026164,0.000914
0.030000,12,-0.002847,0.002283
0.030000,13,-0.005474,0.001266
0.030000,14,0.017248,0.005096
0.030000,15,0.032588,0.003026
0.030000,16,-0.012505,0.003298
0.030000,17,-0.015231,0.004681
0.030000,18,0.009536,0.012184
0.030000,19,0.001071,0.009721
0.030000,20,0.042213,0.030810
0.030000,21,-0.031743,0.040694
0.030000,22,-0.019428,0.010382
0.030000,23,-0.032215,0.008775
0.030000,24,0.015118,0.004258
0.030000,25,-0.000536,0.003633
0.030000,26,0.016056,0.002898
0.030000,27,0.001339,0.003648
0.030000,28,-0.004382,0.001035
0.030000,29,0.005578,0.002230
0.030000,30,-0.001929,0.002018
0.030000,31,0.006299,0.001595
0.030000,32,-0.000682,0.012591
0.030000,33,0.018559,0.002318
0.030000,34,-0.000061,0.004833
0.030000,35,0.009587,0.001180
0.030000,36,-0.006085,0.002961
0.030000,37,0.005157,0.001931
0.030000,38,0.022684,0.003439
0.030000,39,0.023567,0.002515
0.030000,40,-0.001486,0.006462
0.030000,41,0.013223,0.002057
0.030000,42,0.022010,0.002164
0.030000,43,0.001562,0.007556
0.030000,44,0.019909,0.003368
0.030000,45,-0.005814,0.002484
0.030000,46,0.002112,0.002145
0.030000,47,-0.023166,0.007868
0.030000,48,-0.002145,0.002025
0.030000,49,0.021920,0.005375
0.030000,50,0.034412,0.014066
0.035000,1,0.036376,0.005536
0.035000,2,0.027465,0.003117
0.035000,3,-0.015152,0.002134
0.035000,4,-0.011797,0.000913
0.035000,5,0.016815,0.001790
0.035000,6,0.019689,0.003610
0.035000,7,0.019456,0.001347
0.035000,8,0.031203,0.001889
0.035000,9,-0.013289,0.005174
0.035000,10,-0.009898,0.002655
0.035000,11,0.029558,0.001945
0.035000,12,0.005597,0.002716
0.035000,13,-0.006909,0.001648
0.035000,14,0.020821,0.006660
0.035000,15,0.040519,0.002974
0.035000,16,-0.013926,0.004285
0.035000,17,-0.017133,0.006615
0.035000,18,0.012276,0.016951
0.035000,19,0.000645,0.012546
0.035000,20,0.048248,0.040298
0.035000,21,-0.032732,0.056264
0.035000,22,-0.023591,0.013692
0.035000,23,-0.039395,0.012074
0.035000,24,0.018393,0.005429
0.035000,25,-0.001367,0.005459
0.035000,26,0.018671,0.003814
0.035000,27,0.000067,0.005891
0.035000,28,-0.005438,0.001414
0.035000,29,0.012253,0.003810
0.035000,30,0.000293,0.003214
0.035000,31,0.011485,0.002906
0.035000,32,-0.001477,0.016923
0.035000,33,0.022251,0.003135
0.035000,34,-0.000426,0.006376
0.035000,35,0.010286,0.001540
0.035000,36,-0.006263,0.003883
0.035000,37,0.007920,0.002463
0.035000,38,0.026334,0.004537
0.035000,39,0.027072,0.003288
0.035000,40,-0.001431,0.008545
0.035000,41,0.015199,0.002788
0.035000,42,0.026530,0.003057
0.035000,43,0.001071,0.010190
0.035000,44,0.023561,0.004636
0.035000,45,-0.005795,0.003326
0.035000,46,0.002346,0.002753
0.035000,47,-0.026710,0.010869
0.035000,48,-0.002860,0.002645
0.035000,49,0.025685,0.007115
0.035000,50,0.038382,0.018954
0.040000,1,0.039350,0.007363
0.040000,2,0.025676,0.005425
0.040000,3,-0.018880,0.002920
0.040000,4,-0.013681,0.001232
0.040000,5,0.018633,0.002179
0.040000,6,0.020414,0.005092
0.040000,7,0.021501,0.001729
0.040000,8,0.035245,0.003121
0.040000,9,-0.015477,0.006517
0.040000,10,-0.012432,0.003467
0.040000,11,0.033323,0.002593
0.040000,12,0.005841,0.003418
0.040000,13,0.001010,0.002667
0.040000,14,0.024394,0.008441
0.040000,15,0.043598,0.003600
0.040000,16,-0.015326,0.005420
0.040000,17,-0.019042,0.008901
0.040000,18,0.006548,0.022953
0.040000,19,0.000243,0.015829
0.040000,20,0.054290,0.051145
0.040000,21,-0.034774,0.074143
0.040000,22,-0.027752,0.017496
0.040000,23,-0.049068,0.017130
0.040000,24,0.019186,0.007076
0.040000,25,-0.001041,0.007019
0.040000,26,0.021775,0.003841
0.040000,27,-0.000529,0.007578
0.040000,28,-0.006494,0.001855
0.040000,29,0.013777,0.004936
0.040000,30,-0.000680,0.004205
0.040000,31,0.013493,0.003847
0.040000,32,-0.000852,0.021138
0.040000,33,0.025943,0.004081
0.040000,34,-0.005622,0.006846
0.040000,35,0.010989,0.001956
0.040000,36,-0.009461,0.005015
0.040000,37,0.009586,0.003172
0.040000,38,0.029774,0.005848
0.040000,39,0.031515,0.004483
0.040000,40,-0.004123,0.010160
0.040000,41,0.020573,0.003991
0.040000,42,0.031051,0.004107
0.040000,43,0.000580,0.013227
0.040000,44,0.028044,0.003589
0.040000,45,-0.005780,0.004298
0.040000,46,0.002567,0.003468
0.040000,47,-0.030264,0.014360
0.040000,48,-0.006032,0.004006
0.040000,49,0.056178,0.011444
0.040000,50,0.056050,0.028954
0.045000,1,0.044269,0.009326
0.045000,2,0.028365,0.007099
0.045000,3,-0.019176,0.003205
0.045000,4,-0.015566,0.001603
0.045000,5,0.020685,0.002882
0.045000,6,0.023627,0.006555
0.045000,7,0.026831,0.002522
0.045000,8,0.039258,0.004060
0.045000,9,-0.012037,0.007123
0.045000,10,-0.014964,0.004394
0.045000,11,0.037090,0.003341
0.045000,12,0.006086,0.004209
0.045000,13,0.000705,0.003343
0.045000,14,0.028608,0.009784
0.045000,15,0.046552,0.004294
0.045000,16,-0.011894,0.007704
0.045000,17,-0.020957,0.011541
0.045000,18,0.008224,0.029196
0.045000,19,-0.014705,0.023165
0.045000,20,0.060337,0.063352
0.045000,21,-0.036814,0.094514
0.045000,22,-0.035091,0.021640
0.045000,23,-0.060015,0.022280
0.045000,24,0.021509,0.008861
0.045000,25,-0.000846,0.009265
0.045000,26,0.024637,0.004521
0.045000,27,-0.001126,0.009488
0.045000,28,-0.013390,0.002838
0.045000,29,0.015297,0.006221
0.045000,30,-0.001652,0.005332
0.045000,31,0.015501,0.004924
0.045000,32,-0.001137,0.026385
0.045000,33,0.029634,0.005156
0.045000,34,-0.006461,0.008510
0.045000,35,0.018341,0.002719
0.045000,36,-0.011349,0.006283
0.045000,37,0.015816,0.003745
0.045000,38,0.033263,0.007314
0.045000,39,0.035781,0.005603
0.045000,40,-0.004397,0.012709
0.045000,41,0.023069,0.004978
0.045000,42,0.033725,0.005133
0.045000,43,0.000089,0.016667
0.045000,44,0.031761,0.004560
0.045000,45,0.002762,0.004264
0.045000,46,0.002778,0.004288
0.045000,47,-0.046953,0.021527
0.045000,48,-0.007252,0.004984
0.045000,49,0.062941,0.014467
0.045000,50,0.062006,0.036560
0.050000,1,0.048763,0.011569
0.050000,2,0.031051,0.008997
0.050000,3,-0.022563,0.004086
0.050000,4,-0.017453,0.002028
0.050000,5,0.022751,0.003687
0.050000,6,0.026834,0.008211
0.050000,7,0.029481,0.003093
0.050000,8,0.043288,0.005128
0.050000,9,-0.013930,0.008659
0.050000,10,-0.017495,0.005435
0.050000,11,0.047118,0.005524
0.050000,12,0.012497,0.006055
0.050000,13,0.000396,0.004098
0.050000,14,0.031830,0.011850
0.050000,15,0.049441,0.005062
0.050000,16,-0.012868,0.009305
0.050000,17,-0.025849,0.019378
0.050000,18,0.009896,0.036205
0.050000,19,-0.016951,0.027981
0.050000,20,0.066916,0.062280
0.050000,21,-0.035291,0.120352
0.050000,22,-0.039635,0.026449
0.050000,23,-0.067777,0.027722
0.050000,24,0.022863,0.011475
0.050000,25,-0.008603,0.012285
0.050000,26,0.028267,0.005732
